Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
consumer conversion efficiency,consumer conversion efficiency,0,resource acquisition,consumption rate,,consumption rate,consumer conversion efficiency,,,,,NH
conversion efficiency,conversion efficiency,0,resource acquisition,consumption rate,,consumption rate,conversion efficiency,,,,,NH
effective consumption rate,effective consumption rate,0,resource acquisition,consumption rate,,consumption rate,effective consumption rate,,,,,NH
feeding rate,feeding rate,0,resource acquisition,consumption rate,,consumption rate,feeding rate,,,,,NH
foraging rate,foraging rate,0,resource acquisition,consumption rate,,consumption rate,foraging rate,,,,,NH
grazing,grazing,0,resource acquisition,consumption rate,,consumption rate,grazing,,,,,NH
grazing rate,grazing rate,0,resource acquisition,consumption rate,,consumption rate,grazing rate,,,,,NH
mean number of feeding bouts required to take a blood meal,mean number of feeding bouts required to take a blood meal,0,resource acquisition,consumption rate,,consumption rate,mean number of feeding bouts required to take a blood meal,,,,,NH
patch detection time,patch detection time,0,resource acquisition,consumption rate,,consumption rate,patch detection time,,,,,NH
rate of energy consumption after emergence,rate of energy consumption after emergence,0,resource acquisition,consumption rate,,consumption rate,rate of energy consumption after emergence,,,,,NH
time to consume new food,time to consume new food,0,resource acquisition,consumption rate,,consumption rate,time to consume new food,,,,,NH
Cu,Cu,0,composition,copper,,copper,Cu,,,,,CB
root conentrations of Cu,root concentrations of Cu,0,composition,copper,,copper,root concentrations of Cu,,,,,CB
cortisol concentrations,cortisol concentrations,0,composition,cortisol,,cortisol,cortisol concentrations,activity,,,,CB
camouflage,camouflage,0,activity,defense,crypsis,crypsis,crypsis,,,,,CB
defence behaviour,defense behaviour,0,activity,defense,,defense,defense behaviour,,,,,CB
defence mechanism,defense mechanism,0,activity,defense,,defense,defense mechanism,,,,,CB
defence syndrome,defense syndrome,0,activity,defense,,defense,defense syndrome,,,,,CB
defense against predators,defense against predators,0,activity,defense,,defense,defense against predators,,,,,CB
defense investment,defense investment,0,activity,defense,,defense,defense investment,,,,,CB
defensive traits,defensive traits,0,activity,defense,,defense,defensive traits,,,,,CB
nest-defence behaviour,nest-defense behaviour,0,activity,defense,,defense,nest-defense behaviour,,,,,CB
serum inhibitor ability,serum inhibitor ability,1,life history,defense,,defense,serum inhibitor ability,,,,,CB
siliceous exoskeleton structures,siliceous exoskeleton structures,0,morphology,defense,armour,armour,armour,exoskeleton,1,NH: repetitive?,,CB
siliceous exoskeletons,siliceous exoskeletons,0,morphology,defense,armour,armour,armour,exoskeleton,1,NH: repetitive?,,CB
exoskeleton,exoskeleton,0,morphology,defense,armour,armour,armour,exoskeleton,1,defence,secondary,NH
armoring,armoring,0,morphology,defense,armour,armour,armour,,,,,CB
bark texture,bark texture,0,morphology,defense,armour,armour,armour,,,,,CB
bark thickness,bark thickness,0,morphology,defense,armour,armour,armour,,,,,CB
lateral plate number,lateral plate number,0,morphology,defense,armour,armour,armour,,,,,CB
lateral plate position,lateral plate position,0,morphology,defense,armour,armour,armour,,,,,CB
lateral plate structural overlap,lateral plate structural overlap,0,morphology,defense,armour,armour,armour,,,,,CB
number of armour plates,number of armour plates,0,morphology,defense,armour,armour,armour,,,,,CB
number of bony lateral plates,number of bony lateral plates,0,morphology,defense,armour,armour,armour,,,,,CB
scleromorphy,scleromorphy,0,morphology,defense,armour,armour,armour,,,,,CB
sclerotization,sclerotization,0,morphology,defense,armour,armour,armour,,,,,CB
silica walls,silica walls,0,morphology,defense,armour,armour,armour,,,,,CB
woodiness,woodiness,0,morphology,defense,armour,armour,armour,,1,1,wouldn't classify this as armour,CB
woody,woody,0,morphology,defense,armour,armour,armour,,1,1,wouldn't classify this as armour,CB
woody vs. herbaceous,woody vs. herbaceous,0,morphology,defense,armour,armour,armour,,1,1,wouldn't classify this as armour,CB
laminar toughness,laminar toughness,0,morphology,defense,armour,armour,armour,,1,NH: can be structural,,NH
scale density,scale density,0,morphology,defense,armour,armour,armour,,1,"NH: structural, defense",,NH
chemical defence,chemical defense,0,morphology,defense,chemical defense,chemical defense,chemical defense,,1,NH: duplicate,,NH
chemical defences,chemical defenses,0,morphology,defense,chemical defense,chemical defense,chemical defense,,1,NH: duplicate,,NH
chemical defnese,chemical defense,0,morphology,defense,chemical defense,chemical defense,chemical defense,,1,NH: typo,,NH
poison,poison,0,morphology,defense,chemical defense,chemical defense,chemical defense,,1,"NH: Oh boy, glad I'm not the only one that struggles with this. Here the French are joining the Americans this time in throwing off our spelling of ""defence"". C for Brits, Canadians, Aussies and Kiwis. S for the Americans and French.",,NH
venom potency,venom potency,0,morphology,defense,chemical defense,chemical defense,chemical defense,,,,,NH
crypsis,crypsis,0,morphology,defense,crypsis,crypsis,crypsis,crypsis,1,NH: crypsis better than crypticity. Just sayin'.,,NH
crypticity,crypticity,0,morphology,defense,crypsis,crypsis,crypsis,crypsis,1,"NH: whatever this means, it must be a duplicate of ""crypsis"". Also, I also think the word ""crypticity"" is gross. Ew.",,NH
degree of crypticity,degree of crypticity,0,morphology,defense,crypsis,crypsis,crypsis,crypsis,1,"NH: the word itself is growing on me, but I still consider it one of those very vacuous terms that biologists come up with from time to time. It's a no from me.",,NH
spikiness,spikiness,0,morphology,defense,spines,spines,spines,,1,"NH: seriously, spikiness, spininess and spinescence?",,NH
spine,spine,0,morphology,defense,spines,spines,spines,,,,,NH
spinescence,spinescence,0,morphology,defense,spines,spines,spines,,1,"NH: seriously, spikiness, spininess and spinescence?",,NH
spininess,spininess,0,morphology,defense,spines,spines,spines,,1,"NH: seriously, spikiness, spininess and spinescence?",,NH
spinosity,spinosity,0,morphology,defense,spines,spines,spines,,1,"NH: No f***** way, not another one!",,NH
thornines,thornines,0,morphology,defense,spines,spines,spines,,,,,NH
toxin production,toxin production,0,morphology,defense,toxin,toxin,toxin,,,,,NH
anterior barbel length,anterior barbel length,0,morphology,defense,,defense,anterior barbel length,,1,defence,,NH
development of defensive structure,development of defensive structure,0,morphology,defense,,defense,development of defensive structure,,,,,NH
dorsal spine length,dorsal spine length,0,morphology,defense,,defense,dorsal spine length,,,,,NH
herbivore defence,herbivore defense,0,morphology,defense,,defense,herbivore defense,,,,,NH
morphological defense,morphological defense,0,morphology,defense,,defense,morphological defense,,,,,NH
physical defence,physical defense,0,morphology,defense,,defense,physical defense,,,,,NH
protective features,protective features,0,morphology,defense,,defense,protective features,,,,,NH
shield weight,shield weight,0,morphology,defense,,defense,shield weight,,,,,NH
SVMP activity,SVMP activity,1,morphology,defense,,defense,SVMP activity,,1,,CB: snake venom enzyme activity,CB
density,density,0,abundance,density,,density,density,,,,,CB
intraspecific density,intraspecific density,0,abundance,density,,density,intraspecific density,,,,,CB
population density,population density,0,abundance,density,,density,population density,,,,,CB
species population density,species population density,0,abundance,density,,density,species population density,,,,,CB
specific density,specific density,0,abundance,density,,density,specific density,,,,,CB
area independent stomatal index,area independent stomatal index,0,morphology,desication tolerance,morphology,morphology,morphology,,,,,NH
stomal density,stomal density,0,morphology,desication tolerance,stomata traits,stomata traits,stomata traits,,1,"NH: typo, ""stomatal density""",,NH
stomatal area,stomatal area,0,morphology,desication tolerance,stomata traits,stomata traits,stomata traits,,,,,NH
stomatal density,stomatal density,0,morphology,desication tolerance,stomata traits,stomata traits,stomata traits,,1,"NH: combine ""stomal density"" with this",,NH
stomatal length,stomatal length,0,morphology,desication tolerance,stomata traits,stomata traits,stomata traits,,,,,NH
stomatal width,stomatal width,0,morphology,desication tolerance,stomata traits,stomata traits,stomata traits,,,,,NH
tomatal density,stomatal density,0,morphology,desication tolerance,stomata traits,stomata traits,stomata traits,,1,"NH: sounds like something I was thinking about when making pizza sauce last night. But seriously, a typo for ""stomatal"" for sure",,NH
stomatal surface,stomatal surface,1,morphology,desication tolerance,stomata traits,stomata traits,stomata traits,,1,NH: respiration/gas exchange = functional to organism,,NH
leaf succulence,leaf succulence,0,morphology,desication tolerance,succulence,succulence,succulence,,1,NH: surely this can be combined with succulence of leaves/step below,,NH
succulence index,succulence index,0,morphology,desication tolerance,succulence,succulence,succulence,,,,,NH
succulence of leaves or step,succulence of leaves or step,0,morphology,desication tolerance,succulence,succulence,succulence,,1,NH: suggest combine with leaf succulence,,NH
leaf succlence,leaf succulence,0,morphology,desication tolerance,succulence,succulence,succulence,,1,NH: typo for leaf succulence,,NH
dessication-protected eggs,desiccation-protected eggs,0,morphology,desication tolerance,,desication tolerance,desiccation-protected eggs,,,,,NH
area-based stomatal conductance,area-based stomatal conductance,0,resource acquisition,desication tolerance,morphology,morphology,morphology,,,,,NH
ability to survive desciation,ability to survive desiccation,0,resource acquisition,desication tolerance,,desication tolerance,ability to survive desiccation,,,,,NH
base germination water potential,base germination water potential,0,resource acquisition,desication tolerance,,desication tolerance,base germination water potential,,,,,NH
base water potential,base water potential,0,resource acquisition,desication tolerance,,desication tolerance,base water potential,,,,,NH
base water-potential,base water-potential,0,resource acquisition,desication tolerance,,desication tolerance,base water-potential,,,,,NH
degree of water dependence,degree of water dependence,0,resource acquisition,desication tolerance,,desication tolerance,degree of water dependence,,,,,NH
desiccation resistance,desiccation resistance,0,resource acquisition,desication tolerance,,desication tolerance,desiccation resistance,,,,,NH
dessication tolerance,desiccation tolerance,0,resource acquisition,desication tolerance,,desication tolerance,desiccation tolerance,,,,,NH
drought resistance,drought resistance,0,resource acquisition,desication tolerance,,desication tolerance,drought resistance,,,,,NH
drought tolerance,drought tolerance,0,resource acquisition,desication tolerance,,desication tolerance,drought tolerance,,,,,NH
humidity requirement,humidity requirement,0,resource acquisition,desication tolerance,,desication tolerance,humidity requirement,,,,,NH
humidity tolerance,humidity tolerance,0,resource acquisition,desication tolerance,,desication tolerance,humidity tolerance,,,,,NH
hydric limit,hydric limit,0,resource acquisition,desication tolerance,,desication tolerance,hydric limit,,,,,NH
intrinisic water use efficiency,intrinsic water use efficiency,0,resource acquisition,desication tolerance,,desication tolerance,intrinsic water use efficiency,,,,,NH
inundation resistance,inundation resistance,0,resource acquisition,desication tolerance,,desication tolerance,inundation resistance,,,,,NH
inundation tolerance,inundation tolerance,0,resource acquisition,desication tolerance,,desication tolerance,inundation tolerance,,,,,NH
leaf turgor loss point,leaf turgor loss point,0,resource acquisition,desication tolerance,,desication tolerance,leaf turgor loss point,,,,,NH
leaf water concentration,leaf water concentration,0,resource acquisition,desication tolerance,,desication tolerance,leaf water concentration,,,,,NH
leaf water potential,leaf water potential,0,resource acquisition,desication tolerance,,desication tolerance,leaf water potential,,,,,NH
minimum leaf water potential,minimum leaf water potential,0,resource acquisition,desication tolerance,,desication tolerance,minimum leaf water potential,,,,,NH
moisture tolerance,moisture tolerance,0,resource acquisition,desication tolerance,,desication tolerance,moisture tolerance,,,,,NH
resilience to drought,resilience to drought,0,resource acquisition,desication tolerance,,desication tolerance,resilience to drought,,,,,NH
resistance to drought,resistance to drought,0,resource acquisition,desication tolerance,,desication tolerance,resistance to drought,,,,,NH
tolerance to variation in humidity,tolerance to variation in humidity,0,resource acquisition,desication tolerance,,desication tolerance,tolerance to variation in humidity,,,,,NH
