TI,AB,DOI,PY,PT,AU,SO,Relevance,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,Trait Types,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change,Global Change Driver,AdditionalReviewNeeded,ReviewerNotes,ReviewedBy
Relationships between phyllosphere bacterial communities and plant functional traits in a neotropical forest,"The phyllosphere-the aerial surfaces of plants, including leaves-is a ubiquitous global habitat that harbors diverse bacterial communities. Phyllosphere bacterial communities have the potential to influence plant biogeography and ecosystem function through their influence on the fitness and function of their hosts, but the host attributes that drive community assembly in the phyllosphere are poorly understood. In this study we used high-throughput sequencing to quantify bacterial community structure on the leaves of 57 tree species in a neotropical forest in Panama. We tested for relationships between bacterial communities on tree leaves and the functional traits, taxonomy, and phylogeny of their plant hosts. Bacterial communities on tropical tree leaves were diverse; leaves from individual trees were host to more than 400 bacterial taxa. Bacterial communities in the phyllosphere were dominated by a core microbiome of taxa including Actinobacteria, Alpha-, Beta-, and Gammaproteobacteria, and Sphingobacteria. Host attributes including plant taxonomic identity, phylogeny, growth and mortality rates, wood density, leaf mass per area, and leaf nitrogen and phosphorous concentrations were correlated with bacterial community structure on leaves. The relative abundances of several bacterial taxa were correlated with suites of host plant traits related to major axes of plant trait variation, including the leaf economics spectrum and the wood density-growth/mortality tradeoff. These correlations between phyllosphere bacterial diversity and host growth, mortality, and function suggest that incorporating information on plant-microbe associations will improve our ability to understand plant functional biogeography and the drivers of variation in plant and ecosystem function.",10.1073/pnas.1216057111,2014,J,"Kembel, SW; O'Connor, TK; Arnold, HK; Hubbell, SP; Wright, SJ; Green, JL",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0,,,,,,,,,,,,,,,,,,,,,,,,,Traits of hosts (as environmental filter) rather than traits of taxa responding to gradient,"COLE: agree. this is similar to the discussion we had about parasites, and I think it's beyond the scope of what we're doing to wade into these waters",CB
Sensitivity of community-level trait-environment relationships to data representativeness: A test for functional biogeography,"Aim: The characterization of trait-environment relationships over broad-scale gradients is a critical goal for ecology and biogeography. This implies the merging of plot and trait databases to assess community-level trait-based statistics. Potential shortcomings and limitations of this approach are that: (i) species traits are not measured where the community is sampled and (ii) the availability of trait data varies considerably across species and plots. Here we address the effect of trait data representativeness [the sampling effort per species and per plot] on the accuracy of (i) species-level and (ii) community-level trait estimates and (iii) the consequences for the shape and strength of trait-environment relationships across communities. Innovation: We combined information existing in databases of vegetation plots and plant traits to estimate community-weighted means [CWMs] of four key traits [specific leaf area, plant height, seed mass and leaf nitrogen content per dry mass] in permanent grasslands at a country-wide scale. We propose a generic approach for systematic sensitivity analyses based on random sub-sampling and data reduction to address the representativeness of incomplete and heterogeneous trait information when exploring trait-environment relationships across communities. Main conclusions: The accuracy of the CWMs was little affected by the number of individual trait values per species [NIV] but strongly affected by the cover proportion of species with available trait values [PCover]. A PCover above 80% was required for all four traits studied to obtain an estimation bias below 5%. Our approach therefore provides more conservative criteria than previously proposed. Restrictive criteria on both NIV and PCover primarily excluded communities in harsh environments, and such reduction of the sampled gradient weakened trait-environment relationships. These findings advocate systematic measurement campaigns in natural environments to increase species coverage in global trait databases, with special emphasis on species occurring in under-sampled and harsh environmental conditions.",10.1111/geb.12573,2017,J,"Borgy, B; Violle, C; Choler, P; Garnier, E; Kattge, J; Loranger, J; Amiaud, B; Cellier, P; Debarros, G; Denelle, P; Diquelou, S; Gachet, S; Jolivet, C; Lavorel, S; Lemauviel-Lavenant, S; Mikolajczak, A; Munoz, F; Olivier, J; Viovy, N",GLOBAL ECOLOGY AND BIOGEOGRAPHY,0,,,,,,,,,,,,,,,,,,,,,,,,,Method for assessing trait sampling adequacy,COLE: agree.,CB
"Taxonomic and functional plant diversity of the Santorini-Christiana island group (Aegean Sea, Greece)","This is the first attempt to analyse vascular plant diversity patterns regarding the seven vegetated islands of the Santorini archipelago (Aegean Sea, Greece) as a whole. Hitherto unpublished floristic records, combined with critical use of taxonomic and chorological information from previous and most recent literature, resulted in a total of 696 infrageneric taxa (species and subspecies) occurring in the area. Detailed qualitative and quantitative phytodiversity spectra per individual island are presented, and floristic dissimilarity (beta-diversity) between islands is considered. Spatial distribution of 28 chorological, ecological, vegetative and reproductive traits for each recorded taxon have been calculated in order to detect regional and fundamental patterns in functional biogeography beyond traditional species-based approaches, based on both taxonomic and functional components of diversity. Mediterranean species constitute the most abundant chorological element and therophytes the most abundant life-form element in the region. Surface area is the most influential variable contributing to species richness; very strong relationships in (1) species per area, (2) functional richness per area and (3) functional richness per species richness are revealed for the Santorini archipelago. Floristic cross-correlations revealed an overall high floristic heterogeneity among the individual islands. The phytodiversity assessment presented is undoubtedly of documentary value in consideration of expected future eruptive events in the area which may damage the plant cover at least on some of the involved islands to a yet unpredictable extent.",10.3372/wi.49.49308,2019,J,"Raus, T; Karadimou, E; Dimopoulos, P",WILLDENOWIA,0,,,,,,,,,,,,,,,,,,,,,,,,,"Additional review: document patterns of trait types and diversity, but do not relate to environmental drivers/filters","COLE: agree, it's just a description. Also they used the word 'Hitherto' in the abstract so that's DEFINITELY a no from me!",CB
Functional traits explain the Hutchinsonian niches of plant species,"Aim: The Hutchinsonian niche is a foundational concept in ecology and evolutionary biology that describes fundamental characteristics of any species: the global maximum population growth rate (rmax); the niche optimum (the environment for which rmax is reached); and the niche width (the environmental range for which intrinsic population growth rates are positive). We examine whether these characteristics are related to inter- and intraspecific variation in functional traits. Location: Cape Floristic Region, South Africa. Time period: Present day. Major taxa studied: Twenty-six plant species (Proteaceae). Methods: We measured leaf, plant-architectural and seed traits across species geographical ranges. We then examined how species-mean traits are related to demographically derived niche characteristics of rmax, in addition to niche optima and widths in five environmental dimensions, and how intraspecific trait variation is related to niche widths. Results: Interspecific trait variation generally exceeded range-wide intraspecific trait variation. Species-mean trait values were associated with variation in rmax (R-2 = 0.27) but were more strongly related to niche optima (mean R-2 = 0.56). These relationships generally matched trait-environment associations described in the literature. Both species-mean traits and intraspecific trait variability were strongly related to niche widths (R-2 = 0.66 and 0.59, respectively). Moreover, niche widths increased with intraspecific trait variability. Overall, the different niche characteristics were associated with few, largely non-overlapping sets of traits. Main conclusions: Our study relating functional traits to Hutchinsonian niches demonstrates that key demographic properties of species relate to few traits with relatively strong effects. Our results further support the hypothesis that intraspecific trait variation increases species niche widths. Given that niche characteristics were related to distinct sets of traits, different aspects of environmental change might affect axes of trait variation independently. Trait-based studies of Hutchinsonian niches thus yield important insights into the mechanisms shaping functional biodiversity, which should reinforce the role of traits in functional biogeography.",10.1111/geb.13048,2020,J,"Treurnicht, M; Pagel, J; Tonnabel, J; Esler, KJ; Slingsby, JA; Schurr, FM",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,plants,South Africa,SLA; leaf width; leaf longevity; leaf N; plant height; wood density; ramification; sprouting; seed mass; seed N; seed N:P ratio,0,1,0,1,0,1,1,0,0,0,0,0,0,,,CB
The Ecological Forest Inventory of Catalonia: a tool for functional ecology,"This paper describes the particular characteristics of IEFC that makes it singular unique tool for the advance of forest ecological understanding. The IEFC stressed by sampling uncommon variables such as biomass and production of branches and leaves, growth curves or nutrient content in wood, bark, branches and leaves. This additional information allowed to carry out some functional studies. In this paper we briefly review the most relevant results regarding: i) the geographical distribution of functional traits across levels of organization and intraspecific and interspecific variability along environmental gradients; ii) the positive relationship between species richness and timber production in Mediterranean forests; iii) the trend to higher growth during most of the twentieth century reversed from year 1970 by lower water availability and; iv) stoichiometric relationships of nutrients by species and functional groups along environmental gradients. Today it is clear that the inclusion of these functional variables in a forest inventory is essential to better understand forest responses to environmental changes and evaluate the suitability of different management strategies.",10.7818/ECOS.2016.25-3.08,2016,J,"Vayreda, J; Martinez-Vilalta, J; Vila-Cabrera, A",ECOSISTEMAS,0,,,,,,,,,,,,,,,,,,,,,,,,,Unable to access copy for review,COLE: same journal as the other one that wasn't in english!,CB
The functional biogeography of species: biogeographical species roles of birds in Wallacea and the West Indies,"Biogeographical systems can be analyzed as networks of species and geographical units. Within such a biogeographical network, individual species may differ fundamentally in their linkage pattern, and therefore hold different topological roles. To advance our understanding of the relationship between species traits and large-scale species distribution patterns in archipelagos, we use a network approach to classify birds as one of four biogeographical species roles: peripherals, connectors, module hubs, and network hubs. These roles are based upon the position of species within the modular network of islands and species in Wallacea and the West Indies. We test whether species traits - including habitat requirements, altitudinal range-span, feeding guild, trophic level, and body length - correlate with species roles. In both archipelagos, habitat requirements, altitudinal range-span and body length show strong relations to species roles. In particular, species that occupy coastal- and open habitats, as well as habitat generalists, show higher proportions of connectors and network hubs and thus tend to span several biogeographical modules (i.e. subregions). Likewise, large body size and a wide altitudinal range-span are related to a wide distribution on many islands and across several biogeographical modules. On the other hand, species restricted to interior forest are mainly characterized as peripherals and, thus, have narrow and localized distributions within biogeographical modules rather than across the archipelago-wide network. These results suggest that the ecological amplitude of a species is highly related to its geographical distribution within and across bio geographical subregions and furthermore supports the idea that large-scale species distributions relate to distributions at the local community level. We finally discuss how our biogeographical species roles may correspond to the stages of the taxon cycle and other prominent theories of species assembly.",10.1111/j.1600-0587.2012.00223.x,2013,J,"Carstensen, DW; Dalsgaard, B; Svenning, JC; Rahbek, C; Fjeldsa, J; Sutherland, WJ; Olesen, JM",ECOGRAPHY,0,,,,,,,,,,,,,,,,,,,,,,,,,No relation to environmental filters on species distribution,COLE: agree,CB
The influence of biogeographic history on the functional and phylogenetic diversity of passerine birds in savannas and forests of the Brazilian Amazon,"Passeriformes is the largest and most diverse avian order in the world and comprises the Passeri and Tyranni suborders. These suborders constitute a monophyletic group, but differ in their ecology and history of occupation of South America. We investigated the influence of biogeographic history on functional and phylogenetic diversities of Passeri and Tyranni in forest and savanna habitats in the Brazilian Amazon. We compiled species composition data for 34 Passeriformes assemblages, 12 in savannas and 22 in forests. We calculated the functional (Rao's quadratic entropy, FDQ) and phylogenetic diversities (mean pairwise distance, MPD, and mean nearest taxon distance, MNTD), and the functional beta diversity to investigate the potential role of biogeographic history in shaping ecological traits and species lineages of both suborders. The functional diversity of Passeri was higher than for Tyranni in both habitats. The MPD for Tyranni was higher than for Passeri in forests; however, there was no difference between the suborders in savannas. In savannas, Passeri presented higher MNTD than Tyranni, while in forest areas, Tyranni assemblages showed higher MNTD than Passeri. We found a high functional turnover (similar to 75%) between Passeri and Tyranni in both habitats. The high functional diversity of Passeri in both habitats is due to the high diversity of ecological traits exhibited by species of this group, which enables the exploitation of a wide variety of resources and foraging strategies. The higher Tyranni MPD and MNTD in forests is likely due to Tyranni being older settlers in this habitat, resulting in the emergence and persistence of more lineages. The higher Passeri MNTD in savannas can be explained by the existence of a larger number of different Passeri lineages adapted to this severe habitat. The high functional turnover between the suborders in both habitats suggests an ecological strategy to avoid niche overlap.",10.1002/ece3.3904,2018,J,"Almeida, SM; Juen, L; Sobral, FL; Santos, MPD",ECOLOGY AND EVOLUTION,0,,,,,,,,,,,,,,,,,,,,,,,,,,,CB
The Mutualistic Niche: Mycorrhizal Symbiosis and Community Dynamics,"The niche is generally viewed in terms of species' intrinsic physiological potential and limitations due to competition. Although DNA sequencing has revealed the ubiquity of beneficial microbial symbioses, the role of mutualisms in shaping species niches is not broadly recognized. In this review, I use a widespread terrestrial mutualism, the ectomycorrhizal symbiosis, to help develop the mutualistic niche concept. Using contemporary niche theory, I show how mycorrhizal symbioses expand environmental ranges (requirement niche) and influence resource use (impact niche) for both plants and fungi. Simple niche models for competition between resource specialists and generalists also predict a range of ecological phenomena, from unexpected monodominance by some tropical trees to the functional biogeography of mycorrhizal symbiosis. A niche-based view of mutualism may also help explain stability of mutualisms even in the absence of clear benefits. The niche is a central concept in ecology, and better integration of mutualism will more accurately reflect the positive interactions experienced by nearly all species.",10.1146/annurev-ecolsys-121415-032100,2016,S,"Peay, KG","ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 47",0,,,,,,,,,,,,,,,,,,,,,,,,,"Suggests correlation among dispersal traits and specificity important for creating niche models of ecchorizal fungi and host selection, but no data presented.","COLE: agree. Lack of data is fine, but there was no theory presented, just supposition IMO",CB
A trait space at an overarching scale yields more conclusive macroecological patterns of functional diversity,"Aim Macroecological studies have commonly used study-specific subsets of taxa to calculate metrics of functional diversity (FD) and explore their spatial patterns. However, FD metrics can be biased if the functional space (FS) does not cover an extensive, common and representative range of trait variation. Here, we propose an overarching FS covering the widest range of European freshwater taxa and trait variation compiled to date for a better evaluation of macroecological FD patterns. Location Six regions distributed from Morocco to Scandinavia. Time period 2008. Major taxa studied Major orders of European freshwater macroinvertebrates (541 taxa). Methods FD metrics (functional richness, dispersion and evenness) were estimated on FSs covering three decreasing grain sizes of trait variation: an overarching European scale (541 taxa), a continental context-dependent scale that covers six regions (180 taxa) and six regional scale FSs (63-108 taxa). Taxonomic richness and FD metrics were modelled over the latitudinal gradient. Null models were performed to assess if FD patterns were independent of taxonomic richness variation and to identify community assembly mechanisms (filtering or overdispersion) along the latitudinal gradient. Results The scale at which FSs were calculated influenced the shape and strength of the latitudinal FD patterns. Continental or regional scale FSs captured different axes of trait variation associated with scale-specific taxa composition. These FS axes and resulting FD metrics moderately or poorly represent those based on the overarching FS. Null model analysis revealed distinct latitudinal patterns for each FS and FD metric, which led to contrasting assembly mechanisms along latitude. Main conclusions An overarching FS (a) captures a wide, common and more representative range of trait variation, (b) offers a more generalizable framework to explore large-scale functional patterns and community assembly mechanisms, and (c) enhances the comparison of FD metrics across studies to obtain more reliable macroecological patterns.",10.1111/geb.13146,2020,J,"Murria, C; Iturrarte, G; Gutierrez-Canovas, G",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,freshwater,invertebrates,North Africa-Northern Europe,maximum size; life cycle duration; reproductive cycles per year; aquatic stages; reproduction form; dissemination strategy; resistance form; respiration strategy; locomotion type,0,1,0,1,1,1,1,1,0,0,0,0,0,,,CB
"Endemic species have highly integrated phenotypes, environmental distributions and phenotype-environment relationships","Aim Why are some species geographically restricted? Ecological explanations suggest that endemic species may have restricted distributions because limited phenotypic variability results in narrow niches. However, studying variability of traits independently may not fully explain the interactions within and between complex phenotypes and environments. Here, we hypothesize that endemic species are restricted to a narrow range of habitats due to strong phenotypic integration (i.e. strong correlations among traits), strong environmental integration (i.e. strong correlations among the environments occupied) and strong correlations among trait-environment combinations. Location The Kerguelen Islands, sub-Antarctic. Methods We measured flowering phenology, multiple morphological characters, and species distribution along three abiotic environmental gradients (elevation, soil moisture and soil salinity) in 14 plant species whose distributions range from strictly endemic to cosmopolitan. Results We found that for individual species, trait means and variances were independent of endemism, but that endemics occupied higher and less variable microhabitats. However, phenotypic integration, environmental integration along the three gradients, and the strength of trait-environment correlations all increased with the level of species endemism. Main conclusions Higher levels of integration within and between phenotypes and environments are associated with more restricted geographical ranges in the species studied. In endemic species phenotypic integration may explain range contraction during the taxon cycle and reduce the ability to adapt to novel microhabitats formed as a result of environmental change.",10.1111/jbi.12095,2013,J,"Hermant, M; Prinzing, A; Vernon, P; Convey, P; Hennion, F",JOURNAL OF BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,plants,sub-Antarctic,plant height; plant diameter; length of largest leaf; flowering stage,0,1,0,0,0,0,0,1,0,0,0,0,0,,,CB
A framework for estimating species-specific contributions to community indicators,"Community Weighted Means (CWM) are valuable tools describing community composition with respect to one given trait. They have been widely used as indicators in global change studies to measure biodiversity responses to environmental perturbations. However, how individual species contribute to such community indicators has hardly been investigated. One of the reasons lies in the absence of a methodological framework relating changes in community dynamics to species-specific population variations. Here, we present a comprehensive framework allowing a finer interpretation of changes in CWM, and we propose a way to compute species contributions to these indicators. We present an analytical framework allowing the quantification of species-specific contributions to changes in the mean (CWM) and the variance (Community Weighted Variance, CWV) of trait distributions in species assemblages monitored through time and space. We apply this approach to a case study investigating the impact of climate change on common bird assemblages in the French Mediterranean area between 2001 and 2012. This approach allows us to identify that a small proportion of the species drive the changes observed at the community level indicator, and allows the identification of those species. Moreover, we show that the species-specific contributions are not homogeneous between taxonomic groups and that migratory species tend to have a higher impact. This novel decomposition and interpretation of Community Weighted Means and Variances (for which specific software package is provided along with this article) sheds new light on the drivers of community modifications in response to environmental changes across time and space. Moreover, it represents a relevant and simple way to assess particular aspects of species-specific responses to environmental changes and it is straightforward to use for widely used ecological data on any species group.",10.1016/j.ecolind.2018.11.069,2019,J,"Gauzere, P; Doulcier, G; Devictor, V; Kefi, S",ECOLOGICAL INDICATORS,0,,,,,,,,,,,,,,,,,,,,,,,,,Note: Methods paper,COLE: agree,CB
Geographical variation of body size in sigmodontine rodents depends on both environment and phylogenetic composition of communities,"Aim Body size variation in animal assemblages is a widely addressed pattern in biogeographical studies, and is affected by both environmental gradients and phylogenetic constraints. However, no study has yet explored to what extent the association between body size variation and environmental gradients across broad spatial scales is influenced by the biogeographical distribution of different phylogenetic lineages. In this study, we discriminate the influences of environmental variables and phylogenetic community composition on body size variation in South American sigmodontine rodents. Location South America. Methods We computed the mean body mass of sigmodontine species cooccurring in 1 x 1 degrees cells across South America. For each cell we recorded mean values for three environmental variables. We characterized the phylogenetic composition of sigmodontine assemblages within each cell using phylogenetic fuzzy-weighting and principal coordinates of phylogenetic structure (PCPS). We then partitioned out the influence of environmental factors and the phylogenetic community composition on mean body size. Results Mean body size variation was mostly explained by shared influence of phylogenetic community composition (PCPS) and environmental factors (68%), while exclusive influence of PCPS was low (19%), and of environment was even lower (0.47%). Increases in body size were related to increases in annual mean temperature, and the influence of environment on body size was mediated by the distribution of sigmodontine lineages across South America. Main conclusions Environment alone was not sufficient to explain body size variation in sigmodontine assemblages. Rather, environmental gradients interacted with historical processes to determine body size variation in the Neotropical assemblages. These results have implications for the way we think of body size gradients across species assemblages, because any gradient in a trait may be a result of differences in the biogeographical distribution of lineages across space, which should be considered in an explicit context.",10.1111/jbi.12718,2016,J,"Maestri, R; Luza, AL; de Barros, LD; Hartz, SM; Ferrari, A; de Freitas, TRO; Duarte, LDS",JOURNAL OF BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,mammals,South America,body size,0,1,0,0,0,1,0,1,0,0,0,0,0,,,CB
Assessing the joint behaviour of species traits as filtered by environment,"Understanding and predicting how species traits are shaped by prevailing environmental conditions is an important yet challenging task in ecology. Functional trait-based approaches can replace potentially idiosyncratic species-specific response models in learning about community behaviour across environmental gradients. Customarily, models for traits given environment consider only trait means to predict species and functional diversity, as intra-taxon variability in traits is often thought to be negligible. A growing body of literature indicates that intra-taxon trait variability is substantial and critical in structuring plant communities and assessing ecosystem function. We propose flexible joint trait distribution models given environment and across species that incorporate intra-taxon variability as well as inter-site/plot variability. Using a Bayesian framework, our joint trait distribution models allow for mixed continuous, binary and ordinal trait variables and incorporate dependence among traits enabling both joint and conditional trait prediction at unobserved sites. The models can be used to inform about the well-known fourth-corner problem, which attempts to interpret trait-by-environment matrices. We demonstrate the utility of our methodology through joint predictive trait distributions for individual species as well as joint community-weighted trait distributions for environments while incorporating intra-taxon trait variability. Explicit details on the probabilistic interpretations of the random trait-by-environment matrices obtained arising under our model are also provided to address the fourth-corner problem. Finally, our joint trait distribution model is applied to simulated and real vegetation data collected from the Greater Cape Floristic Region of South Africa. The proposed methodology places a fully model-based foundation on explaining intra-taxon trait variation given environment. It extends the utility and interpretability of commonly applied techniques for investigating community-weighted traits and illuminates randomness in the fourth-corner problem.",10.1111/2041-210X.12901,2018,J,"Schliep, EM; Gelfand, AE; Mitchell, RM; Aiello-Lammens, ME; Silander, JA",METHODS IN ECOLOGY AND EVOLUTION,0,,,,,,,,,,,,,,,,,,,,,,,,,Note: Methods paper,agree,CB
Historical stability promoted higher functional specialization and originality in Neotropical stream fish assemblages,"Aim: Disturbances are events that influence the structure of biological assemblages, yet how historical disturbances have affected the functional structure of recent assemblages is still poorly known. We used species functional traits to investigate the effects of historical disturbances, such as past climate change (aridification), on the current structure of stream fish assemblages. Location: Amazon Basin and Brazilian Northeast streams. Methods: We used measures of functional specialization and originality to assess the effects of historical disturbances on the structure of fish assemblages in streams with similar local environmental conditions in each biome (Amazonia and Caatinga). For this, we measured 15 traits related to locomotion, feeding and habitat use for each species sampled. We then compared the functional structure of each assemblage expressed as functional richness (FRic) and evenness (FEve) between biomes. We also used structured and random simulations of species extinctions to identify the influence of the loss of original and specialized species due to historical disturbance. Results: We found high levels of functional specialization in Amazonia (historically more stable) and redundancy in Caatinga (higher frequency of historical disturbances) regional assemblages, regardless of the inter-biome differences in species richness. These results were also detected in local assemblages, suggesting that the effect of historical disturbances influences the structure of fish assemblages, both at small and large spatial scales. Main conclusions: The historical stability in Amazonian fish assemblages may have favoured a higher taxonomic and FRic, as well as greater functional specialization and originality, compared to Caatinga assemblages. Our results reinforce the importance of understanding and evaluating the evolutionary history of ecosystems in order to describe the current functional structure of species assemblages.",10.1111/jbi.13205,2018,J,"Rodrigues, CAS; Leitao, RP; Zuanon, J; Sanchez-Botero, JI; Baccaro, FB",JOURNAL OF BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,freshwater,fish,Neotropical streams,mouth-protrusion length; oral-gape length; oral-gape shape; oral-gape position; eye size; eye position; body transversal shape; body transversal surface; pectoral fin position; aspect ratio pectoral fin; caudal penduncle throttling; caudal fin aspect ratio; fins surface ratio; fins surface to body size ratio; body mass,0,1,0,0,0,0,0,1,1,0,0,1,climate change,"Additional review: latitudinal biogeographic patterns, but no environmental drivers assessed",COLE: I agree I think it's relevant. I think the 'biome' could pass for environmental filtering since usually biomes are defined consistently as functions of rainfall etc.,CB
Distinguishing the signatures of local environmental filtering and regional trait range limits in the study of trait-environment relationships,"Understanding the imprint of environmental filtering on community assembly along environmental gradients is a key objective of trait-gradient analyses. Depending on local constraints, this filtering generally entails that species departing from an optimum trait value have lower abundances in the community. The community-weighted mean (CWM) and variance (CWV) of trait values are then expected to depict the optimum and intensity of filtering, respectively. However, the trait distribution within the regional species pool and its limits can also affect local CWM and CWV values apart from the effect of environmental filtering. The regional trait range limits are more likely to be reached in communities at the extremes of environmental gradients. Analogous to the mid-domain effect in biogeography, decreasing CWV values in extreme environments can then represent the influence of regional trait range limits rather than stronger filtering in the local environment. We name this effect the 'trait-gradient boundary effect' (TGBE). First, we use a community assembly framework to build simulated communities along a gradient from a species pool and environmental filtering with either constant or varying intensity while accounting for immigration processes. We demonstrate the significant influence of TGBE, in parallel to environmental filtering, on CWM and CWV at the extremes of the environmental gradient. We provide a statistical tool based on Approximate Bayesian Computation to decipher the respective influence of local environmental filtering and regional trait range limits. Second, as a case study, we reanalyze the functional composition of alpine plant communities distributed along a gradient of snow cover duration. We show that leaf trait convergence found in communities at the extremes of the gradient reflect an influence of trait range limits rather than stronger environmental filtering. These findings challenge correlative trait-environment relationships and call for more explicitly identifying the mechanisms responsible of trait convergence/divergence along environmental gradients.",10.1111/oik.05851,2019,J,"Denelle, P; Violle, C; Munoz, F",OIKOS,0,,,,,,,,,,,,,,,,,,,,,,,,,Note: methods paper,agree,CB
"Effects of climate, soil, forest structure and land use on the functional composition of the understorey in Italian forests","Question In functional biogeography studies, generalizable patterns in the relationship between plant traits and the environment have yet to emerge. Local drivers (i.e., soil, land use, vegetation structure) can increase our understanding of the trait-environment relationship. What is the role of climate and local drivers in shaping abundance-weighted trait patterns of forest understories at biogeographic scales? Location Italian forests. Methods We selected 201 sites that are statistically representative for the heterogeneity of Italian forests across three biogeographic regions (alpine, continental, and mediterranean). Understorey vegetation was recorded for each site on an area of 400 m(2), together with 25 environmental variables related to climate, soil, land use and forest structure. Specific leaf area (SLA), plant height (H) and seed mass (SM) were obtained from databases. Community-weighted mean (CWM) values were calculated. Variance partitioning was used to identify the relative role of groups of environmental variables on the CWM of traits. Generalized Additive Models were used to assess the relationship between traits and single variables. Results Climate alone and climate-soil interactions explained the largest proportion of the variation of all the traits (13.7% to 22.8%). Temperature-related factors as well as soil N and P availability were the climatic and edaphic explanatory variables most correlated to trait variation. Forest structure and land use accounted for a smaller percentage of the variation in traits. Land-use factors alone were important in explaining only SLA variation. Conclusions While climate plays a major role in trait-environment relationships in forest understories, our results highlighted the need to integrate at least soil properties as local drivers of trait variation in broad scale functional biogeography studies of these systems.",10.1111/jvs.12792,2019,J,"Chelli, S; Simonetti, E; Wellstein, C; Campetella, G; Carnicelli, S; Andreetta, A; Giorgini, D; Puletti, N; Bartha, S; Canullo, R",JOURNAL OF VEGETATION SCIENCE,1,0,1,0,0,1,0,observational,terrestrial,plants,Italian forests,SLA; plant height; seed mass,0,1,0,0,0,0,1,1,0,0,0,1,Global Change Multiple,,,CB
Functional diversity enhances the resistance of ecosystem multifunctionality to aridity in Mediterranean drylands,"We used a functional trait-based approach to assess the impacts of aridity and shrub encroachment on the functional structure of Mediterranean dryland communities (functional diversity (FD) and community-weighted mean trait values (CWM)), and to evaluate how these functional attributes ultimately affect multifunctionality (i.e. the provision of several ecosystem functions simultaneously). Shrub encroachment (the increase in the abundance/cover of shrubs) is a major land cover change that is taking place in grasslands worldwide. Studies conducted on drylands have reported positive or negative impacts of shrub encroachment depending on the functions and the traits of the sprouting or nonsprouting shrub species considered. FD and CWM were equally important as drivers of multifunctionality responses to both aridity and shrub encroachment. Size traits (e.g. vegetative height or lateral spread) and leaf traits (e.g. specific leaf area and leaf dry matter content) captured the effect of shrub encroachment on multifunctionality with a relative high accuracy (r(2)=0.63). FD also improved the resistance of multifunctionality along the aridity gradient studied. Maintaining and enhancing FD in plant communities may help to buffer negative effects of ongoing global environmental change on dryland multifunctionality.",10.1111/nph.13268,2015,J,"Valencia, E; Maestre, FT; Le Bagousse-Pinguet, Y; Quero, JL; Tamme, R; Borger, L; Garcia-Gomez, M; Gross, N",NEW PHYTOLOGIST,1,0,1,0,0,1,0,observational,terrestrial,plants,Mediterranean dryland,vegetative height; lateral spread; branching density; ramification; leaf area; leaf length; leaf width; leaf thickness; LDMC,0,1,0,0,0,1,0,1,0,0,0,1,climate change,,,CB
Functional biogeography of angiosperms: life at the extremes,"Nonlinear relationships between species and their environments are believed common in ecology and evolution, including during angiosperms' rise to dominance. Early angiosperms are thought of as woody evergreens restricted to warm, wet habitats. They have since expanded into numerous cold and dry places. This expansion may have included transitions across important environmental thresholds. To understand linear and nonlinear relationships between angiosperm structure and biogeographic distributions, we integrated large datasets of growth habits, conduit sizes, leaf phenologies, evolutionary histories, and environmental limits. We consider current-day patterns and develop a new evolutionary model to investigate processes that created them. The macroecological pattern was clear: herbs had lower minimum temperature and precipitation limits. In woody species, conduit sizes were smaller in evergreens and related to species' minimum temperatures. Across evolutionary timescales, our new modeling approach found conduit sizes in deciduous species decreased linearly with minimum temperature limits. By contrast, evergreen species had a sigmoidal relationship with minimum temperature limits and an inflection overlapping freezing. These results suggest freezing represented an important threshold for evergreen but not deciduous woody angiosperms. Global success of angiosperms appears tied to a small set of alternative solutions when faced with a novel environmental threshold.",10.1111/nph.15114,2018,J,"Zanne, AE; Pearse, WD; Cornwell, WK; McGlinn, DJ; Wright, IJ; Uyeda, JC",NEW PHYTOLOGIST,1,0,1,0,0,1,0,observational,terrestrial,plants,global,size of water?conducting conduits; leaf phenology; woodiness,0,1,0,0,0,1,0,0,0,0,0,0,0,,"COLE: would remove first parenthetical in the traits, and change last one to 'woodiness'",CB
