Trait,DOI,Primary_classification,Secondary_classification
light requirement for germination,10.1111/wre.12126,resource acquisition,light requirement
light uptake parameters,unknown_30,resource acquisition,light requirement
lignin%,10.5194/bg-14-3371-2017,composition,lignin
likelihood of being accidentally dislodged by the current,10.1139/cjfas-54-6-1211,morphology,mobility
likelihood of females surviving to blood feed,10.3389/fevo.2019.00025,survival,survival
likelihood of survival to adulthood,10.3389/fevo.2019.00025,survival,survival
limb traits,10.1111/geb.12003,morphology,NA
linear distance between the base of the discal cell and the intersection of vein R5 with the wing margin as a proxy for adult dispersal capacity,10.1111/een.12454,morphology,wing
lipid body concentration,10.1890/15-1084.1,composition,lipid
lipid content,10.1111/1365-2656.12218,composition,lipid
litter chemistry,10.1890/ES10-00113.1,composition,NA
litter N,10.1111/1365-2745.12366,composition,nitrogen
litter P,10.1111/1365-2745.12366,composition,phosphorous
litter production,10.1890/ES10-00113.1,life history,fecundity
litter size,10.1017/S0952836900001084,life history,fecundity
litter size,10.1556/168.2018.19.2.9,life history,fecundity
litter size,10.1111/bij.12238,life history,fecundity
litter size,unknown_16,life history,fecundity
litter size,10.1111/j.1461-0248.2008.01255.x,life history,fecundity
litter size,10.1371/journal.pbio.0020197,life history,fecundity
locomotion,10.1111/fwb.12961,morphology,mobility
locomotion,10.1111/1365-2435.13141,morphology,mobility
locomotion,10.1016/S0167-8809(01)00333-4,morphology,mobility
locomotion,10.1016/j.scitotenv.2016.07.227,morphology,mobility
locomotion,10.1016/j.gecco.2016.01.004,morphology,mobility
locomotion,10.1002/eap.1535/full,morphology,mobility
locomotion,10.1038/s41559-017-0426-x,morphology,mobility
locomotion and substrate relation,10.1111/fwb.12934,morphology,mobility
locomotion and substrate relation,10.1046/j.1365-2427.2000.00535.x,morphology,mobility
locomotion mode,10.1111/ecog.03782,morphology,mobility
locomotion type,10.1002/eap.1554/full,morphology,mobility
locomotion velocity,10.1111/oik.05228,morphology,mobility
locomotor activity,10.1093/beheco/arv115,morphology,mobility
locomotor propulsion mechanism,10.1002/ece3.2328,morphology,mobility
locomotory organs,10.1016/j.soilbio.2014.04.002,morphology,mobility
locomotory traits,10.1890/14-1731.1.sm,morphology,mobility
log proportion of seeds damaged,10.1890/11-2026.1,survival,mortality
log seed mass,10.1007/s00442-011-1980-6,life history,fecundity
longest body depth,10.1016/j.pocean.2014.10.002,morphology,shape
longest toe on the forelimb,10.1111/j.1095-8312.2007.00909.x,morphology,bone length/shape
longest toe on the hindlimb,10.1111/j.1095-8312.2007.00909.x,morphology,bone length/shape
longevity,10.1111/ecog.02516,life history,life span
longevity,10.1111/1365-2656.12838,life history,life span
longevity,10.1098/rspb.2000.1010,life history,life span
longevity,10.1111/oik.00707,life history,life span
longevity,10.1002/ecs2.2374,life history,life span
longevity,unknown_17,life history,life span
longevity,10.1111/1365-2435.12798,life history,life span
longevity,10.1111/1365-2745.12199,life history,life span
longevity,10.1111/gcb.12780,life history,life span
longevity,10.1016/j.anbehav.2005.05.010,life history,life span
longevity,10.1111/geb.12567,life history,life span
longevity,10.1111/1365-2745.12098,life history,life span
longevity,10.1111/ecog.02968,life history,life span
longevity,10.1111/j.1365-2745.2010.01650.x,life history,life span
longevity,10.1111/oik.02100,life history,life span
longevity,10.1098/rspb.2014.2102,life history,life span
longevity,10.1371/journal.pone.0093237,life history,life span
longevity,10.1111/1365-2664.12922,life history,life span
longitudinal distribution,10.1002/eap.1621,habitat,range
longitudinal distribution,10.1046/j.1365-2427.2000.00535.x,habitat,range
longitudinal distribution,10.1111/fwb.12554,habitat,range
loss to weed competition,10.1111/wre.12126,growth,competitive ability
lower jaw length,10.1007/s12080-014-0229-5,morphology,bone length/shape
lower jaw opening displacement advantage,10.1186/1471-2148-13-277,morphology,mouth
lower tooth row angle,10.1111/1365-2435.12838,morphology,teeth traits
lower tooth row length,10.1111/1365-2435.12838,morphology,teeth traits
macrohabitat,10.2478/s11756-014-0347-y,habitat,NA
main activity season,10.1016/S0167-8809(01)00333-4,activity,seasonality
main dispersal modes,10.1139/gen-2018-0039,activity,dispersal
main feeding behaviour,10.1111/1365-2656.12650,resource acquisition,feeding mode
main feeding behaviour,10.1111/1365-2656.12478,resource acquisition,feeding mode
main feeding guild,10.1111/1365-2656.12650,resource acquisition,feeding mode
main feeding guild,10.1111/1365-2656.12478,resource acquisition,feeding mode
main feeding stratum,10.1111/1365-2656.12650,resource acquisition,feeding mode
main feeding stratum,10.1111/1365-2656.12478,resource acquisition,feeding mode
main foraging period,10.1111/j.1461-0248.2010.01493.x,resource acquisition,feeding mode
main reproduction periods,10.1111/jbi.12946,life history,reproductive timing
major biotype,10.1051/alr:2005029,habitat,NA
male combat,10.1046/j.1523-1739.2002.02283.x,life history,reproductive mode
male mate-searching behaviour,10.1890/13-2036.1,life history,reproductive mode
male size at maturity,10.1007/s004420000504,life history,age/size at maturity
mandible incisor process curvature,10.1111/oik.05228,morphology,bone length/shape
mandible length,10.1111/icad.12248,morphology,bone length/shape
mandible length,10.1007/s00442-014-3101-9,morphology,bone length/shape
mandible length,10.1007/s00442-014-3039-y,morphology,bone length/shape
mandible length,10.1016/j.foreco.2019.01.021,morphology,bone length/shape
mandible length,10.1016/j.ecolind.2017.01.029,morphology,bone length/shape
mandible thickness,10.1111/oik.05228,morphology,bone length/shape
mandible width,10.1111/icad.12248,morphology,bone length/shape
mass,10.1002/ecm.1294/full,morphology,size
mass,10.1371/journal.pone.0090437,morphology,size
mass-based leaf N,10.1038/srep24110,composition,nitrogen
mass-based leaf nitrogen content,10.1111/1365-2745.12996,composition,nitrogen
mass-based leaf nitrogen content,10.1073/pnas.1310700110,composition,nitrogen
mass-specific metabolism in activity,10.1111/oik.05228,activity,metabolism
mass allometry,10.1890/09-1894.1,morphology,size
mass based P content,10.1111/1365-2745.12996,composition,phosphorous
mass based root nitrogen content,10.1073/pnas.1310700110,composition,nitrogen
mass of underground reserves,10.1046/j.1365-2435.2002.00664.x,composition,NA
maternal care,10.1007/s00265-010-1031-z,life history,parental care
mating behaviour,10.1111/j.1365-2656.2010.01666.x,life history,reproductive mode
mating success,10.1002/ecs2.2125,life history,fecundity
matrix use,10.1023/B:BIOC.0000004319.91643.9e,habitat,NA
maturation,10.1371/journal.pone.0107525,growth,maturity
maturation age,10.1111/faf.12155,life history,age/size at maturity
maturation age,10.1046/j.1365-2435.2002.00664.x,life history,age/size at maturity
mature number of oocytes,10.1002/eco.1734,life history,fecundity
mature plant height,10.1111/j.1654-1103.2011.01384.x,morphology,size
maturity,unknown_31,growth,maturity
maturity degree,10.1111/jfb.12378,growth,maturity
max acceleration,10.1007/s00442-010-1712-3,activity,movement
max adult size,10.1051/alr:2005029,morphology,size
max and min forewing length,10.1890/1051-0761(2006)016[0891:STAPOL]2.0.CO;2,morphology,wing
max body length,10.1007/s11160-017-9479-9,morphology,size
max body length,unknown_17,morphology,size
max body length,10.7717/peerj.3092,morphology,size
max body length,10.1111/geb.12475,morphology,size
max body mass,10.1111/jbi.12284,morphology,size
max body size,10.1111/ddi.12074,morphology,size
max body size,10.3354/meps09086,morphology,size
max body size,10.1111/1365-2656.12838,morphology,size
max body size,10.1111/1365-2435.13141,morphology,size
max body size,10.1111/jbi.12574,morphology,size
max body size,10.7717/peerj.5038,morphology,size
max body size,10.1073/pnas.1304074110,morphology,size
max body size,10.1046/j.1365-2427.2000.00535.x,morphology,size
max body size,10.1016/j.scitotenv.2016.07.227,morphology,size
max body width,10.1111/jbi.12284,morphology,size
max canopy height,10.1890/10-1961.1,morphology,size
max cone length,10.1111/geb.12567,morphology,size
max crawling rate,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,morphology,mobility
max DBH,10.1111/geb.12567,morphology,size
max DBH,10.1890/09-1672.1,morphology,size
max DBH,10.1126/science.1160662,morphology,size
max diameter,10.1016/j.ecocom.2012.03.003,morphology,size
max diameter,10.1007/s12080-014-0229-5,morphology,size
max eye diameter,10.1016/j.foreco.2019.01.021,morphology,vision
max fecundity,10.1111/ddi.12747,life history,fecundity
max height,10.1111/geb.12567,morphology,size
max height,10.1111/1365-2435.12176,morphology,size
max height,10.1093/jpe/rtt075,morphology,size
max height,10.3389/fpls.2016.01224,morphology,size
max height,10.3390/f9010019,morphology,size
max height,10.1890/08-1449.1,morphology,size
max height,10.1111/1365-2664.12935,morphology,size
max height,10.1111/geb.12030,morphology,size
max height,10.1890/14-2357.1,morphology,size
max height,10.1016/j.ncon.2016.09.006,morphology,size
max height,10.1890/08-1025.1,morphology,size
max height,10.1111/ele.12081,morphology,size
max height,10.1111/j.1365-2745.2010.01662.x,morphology,size
max height,10.1111/j.1600-0587.2012.00011.x,morphology,size
max height,unknown_24,morphology,size
max height,10.1614/WS-09-096.1,morphology,size
max height,10.1890/15-1673.1,morphology,size
max height,10.1111/geb.12167,morphology,size
max height,10.1007/s10531-014-0742-2,morphology,size
max height at maturity,10.1111/j.1466-8238.2010.00641.x,life history,age/size at maturity
max length,10.1371/journal.pone.0093237,morphology,size
max length,10.1111/gcb.12780,morphology,size
max length,10.1007/s10750-017-3208-1,morphology,size
max length,10.3732/ajb.1400437,morphology,size
max lifespan,10.7717/peerj.5038,life history,life span
max lifespan,10.1002/eap.1434,life history,life span
max lifespan,10.1111/ddi.12747,life history,life span
max linear dimension,10.1016/j.ecolind.2017.12.003,morphology,size
max linear dimension,10.1007/s10661-015-4519-1,morphology,size
max linear dimension,10.3390/w11020222,morphology,size
max linear dimension for surface,10.3389/fmicb.2017.01486,morphology,size
max linear dimension for volume,10.3389/fmicb.2017.01486,morphology,size
max plant height,10.3389/fevo.2018.00219,morphology,size
max plant height,10.1139/gen-2018-0039,morphology,size
max plant height,10.1002/ecs2.2374,morphology,size
max plant height,10.1111/jvs.12288,morphology,size
max plant height,10.1007/s00442-016-3547-z,morphology,size
max plant height,10.1111/jbi.13171,morphology,size
max plant height,10.1007/s13593-013-0166-5,morphology,size
max plant height,10.1007/s11692-017-9409-8,morphology,size
max plant height,10.1111/geb.12783,morphology,size
max plant height,10.1002/ece3.3068,morphology,size
max plant height,10.1111/j.1365-2745.2011.01795.x,morphology,size
max plant height,10.1111/wre.12126,morphology,size
max population growth,10.1111/j.1365-2486.2011.02614.x,growth,NA
max recorded body size,10.1111/ddi.12712,morphology,size
max recorded length,10.7717/peerj.2387,morphology,size
max reported fecundity,10.1111/gcb.12780,life history,fecundity
max response speed,10.1007/s00442-010-1712-3,morphology,mobility
max seed length,10.1111/geb.12567,life history,offspring size
max seed wing length,10.1111/geb.12567,activity,dispersal
max shell size,10.1111/jbi.12946,morphology,size
max species height,10.1111/jvs.12256,morphology,size
max stem height,10.1007/s11284-016-1373-8,morphology,size
max swimming speed,10.1111/1365-2656.12218,morphology,mobility
max total body length,10.1002/aqc.1198,morphology,size
max total length,10.1111/ddi.12747,morphology,size
max tree height,10.1016/j.foreco.2016.04.020,morphology,size
max veg height,10.1111/j.1365-2745.2010.01651.x,morphology,size
max vegetative height,10.1111/j.1365-2435.2010.01727.x,morphology,size
max weed height,10.1111/jvs.12151,morphology,size
max weight,10.1007/s10750-017-3208-1,morphology,size
max width,10.3732/ajb.1400437,morphology,size
max. seed release height,10.1111/1365-2745.12333,life history,reproductive mode
maximal body length,10.1111/jbi.12284,morphology,size
maximal rate of oxygen consumption,10.1086/682680,resource acquisition,respiration
maximal shell size,10.1111/1365-2656.12838,morphology,size
maximum body mass,10.7717/peerj.3092,morphology,size
maximum canopy height,10.1002/eco.1655,morphology,size
maximum carboxylation rate at 25 degrees C,unknown_29,resource acquisition,photosynthetic rate
maximum clutch size,10.7717/peerj.3092,life history,fecundity
maximum colony size,10.1111/j.1461-0248.2012.01861.x,activity,colony attributes
maximum crawling rate,10.1899/10-041.1,morphology,mobility
maximum electron transport rate at 25 degrees C,unknown_29,resource acquisition,photosynthetic rate
maximum fecundity,10.7717/peerj.5038,life history,fecundity
maximum projected tree crown area,10.1098/rsos.140541,morphology,size
maximum standard length,10.1111/1365-2435.12838,morphology,size
maximum tree height,10.1111/j.1461-0248.2010.01541.x,morphology,size
meadow use,10.1111/1365-2656.12829,habitat,NA
mean adult body mass,10.1111/geb.12567,morphology,size
mean area of a leaf,10.1111/jvs.12066,morphology,leaf area
mean bill size,10.1111/1749-4877.12319,morphology,size
mean body length,10.1007/s10750-017-3199-y,morphology,size
mean body mass,10.1007/s00265-006-0160-x,morphology,size
mean body mass,10.1007/s10682-013-9631-5,morphology,size
mean clutch size,10.3389/fevo.2017.00084,life history,fecundity
mean clutch size,10.1046/j.1523-1739.2002.02283.x,life history,fecundity
mean clutch size,10.1002/eap.1434,life history,fecundity
mean dry biomass,10.1111/ddi.12785,abundance,biomass
mean family age,10.1111/jbi.13108,life history,age/size at maturity
mean fecundity in the first gonotrophic cycle,10.3389/fevo.2019.00025,life history,fecundity
mean female body mass,10.1111/geb.12088,morphology,size
mean generation time,10.2307/2937081,life history,reproductive timing
mean group size,10.1111/ddi.12790,activity,aggregation
mean julian flowering date,10.1890/10-0394.1,life history,reproductive timing
mean julian flowering date,10.1371/journal.pone.0131630,life history,reproductive timing
mean latitude of observations,10.1111/gcb.13184,habitat,range
mean leaf C concentration,10.1080/17550874.2017.1345997,composition,carbon
mean leaf C isotope ratio,10.1080/17550874.2017.1345997,composition,carbon
mean leaf length,10.1002/ecs2.2374,morphology,leaf area
mean leaf N conc,10.1080/17550874.2017.1345997,composition,nitrogen
mean leaf width,10.1002/ecs2.2374,morphology,leaf area
mean litter size,10.1111/geb.12088,life history,fecundity
mean mass of a seed,10.1890/11-2026.1,life history,offspring size
mean number of feeding bouts required to take a blood meal,10.3389/fevo.2019.00025,resource acquisition,consumption rate
mean number of seeds per fruit,10.1016/j.ncon.2016.09.006,life history,fecundity
mean response speed,10.1007/s00442-010-1712-3,morphology,mobility
mean seed mass,10.1017/S0960258510000176,life history,offspring size
mean seed mass,10.1111/geb.12567,life history,offspring size
mean stream size,10.1111/geb.12475,habitat,stream size
measure of bib size,10.1111/jeb.12717,morphology,coloration
median development time,10.3389/fevo.2019.00025,growth,development
melanism,10.1371/journal.pone.0041323,morphology,coloration
metabolic pathway,10.1038/s41559-019-0899-x,resource acquisition,metabolism
metabolic pathway,10.1073/pnas.1300643110,resource acquisition,metabolism
metabolic potential,10.1038/ismej.2015.201,resource acquisition,metabolism
metabolic quotient,10.1016/j.agee.2017.01.036,resource acquisition,metabolism
metabolic rate,10.1111/faf.12155,resource acquisition,metabolism
metabolic rate,10.1890/0012-9658(2003)084[1129:AHUISP]2.0.CO;2,resource acquisition,metabolism
metabolic rate,10.1002/eap.1530,resource acquisition,metabolism
metabolic type,10.1111/ele.12081,resource acquisition,metabolism
metabolism,10.1111/jfb.12177,resource acquisition,metabolism
metabolite composition,10.1002/ecy.2533,resource acquisition,metabolism
metacarpus on the forelimb,10.1111/j.1095-8312.2007.00909.x,morphology,bone length/shape
metatarsus on the hindlimb,10.1111/j.1095-8312.2007.00909.x,morphology,bone length/shape
method of locomotion,unknown_13,morphology,mobility
Mg%,10.5194/bg-14-3371-2017,composition,magnesium
Mg%,10.1111/j.1472-4642.2009.00599.x,composition,magnesium
micro-spatial preference,unknown_19,habitat,NA
microhabitat,10.1371/journal.pone.0061866,habitat,microhabitat
microhabitat association,10.1111/jbi.12946,habitat,microhabitat
microhabitat association,10.1023/B:BIOC.0000004319.91643.9e,habitat,microhabitat
microhabitat association,10.1002/ece3.2081,habitat,microhabitat
microhabitat association,10.1002/ece3.1084,habitat,microhabitat
microhabitat preference,10.1007/BF00133308,habitat,microhabitat
microhabitat type,10.1111/1752-1688.12650,habitat,microhabitat
microhabitat type,10.1111/icad.12051,habitat,microhabitat
microhabitat use,10.1371/journal.pone.0081739,habitat,microhabitat
migrant,10.1007/s10021-015-9875-8,activity,migration
migration,10.1038/ncomms9877,activity,migration
migration,10.1111/1365-2656.12829,activity,migration
migration,10.1111/faf.12155,activity,migration
migration method,10.1111/j.1365-2486.2009.01963.x,activity,migration
migration method,10.1016/j.csr.2009.01.003,activity,migration
migration pattern,10.7717/peerj.3092,activity,migration
migratory,10.1007/s00265-006-0160-x,activity,migration
migratory,10.1111/ele.12081,activity,migration
migratory behavior,10.1098/rspb.2012.2131,activity,migration
migratory behavior,10.1111/j.1461-0248.2010.01493.x,activity,migration
migratory behavior,10.1002/eap.1434,activity,migration
migratory behavior,10.1111/ecog.02968,activity,migration
migratory behavior,10.1111/geb.12148,activity,migration
migratory behavior,10.1371/journal.pone.0107883,activity,migration
migratory behavior,10.1007/s00442-017-4053-7,activity,migration
migratory patterns,10.1111/ele.12757,activity,migration
min height,10.1111/ele.12081,morphology,size
min space requirement,10.7717/peerj.5038,resource acquisition,competitive ability
mineral traits,10.1111/j.1472-4642.2009.00599.x,resource acquisition,NA
minimum height,unknown_24,morphology,size
minimum incubation days,10.7717/peerj.3092,growth,NA
minimum leaf water potential,10.1890/13-2377.1,resource acquisition,desication tolerance
minimum reproductive age,10.1111/jvs.12465,life history,age/size at maturity
minimum rooting depth,10.1111/geb.12167,morphology,water intake
mitospore,10.1111/j.1365-2664.2011.02039.x,morphology,reproductive structure
mixotrophy,10.1111/1365-2435.12784,resource acquisition,diet
mixotrophy,10.1007/s10452-017-9634-3,resource acquisition,diet
mixotrophy,unknown_30,resource acquisition,diet
mixotrophy,10.1007/s10750-015-2313-2,resource acquisition,diet
Mn,10.1111/j.1472-4642.2009.00599.x,composition,manganese
Mn weight,10.5194/bg-14-3371-2017,composition,manganese
mobility,10.1016/j.csr.2009.01.003,morphology,mobility
mobility,10.1111/1365-2664.12490,morphology,mobility
mobility,10.1111/1365-2656.12218,morphology,mobility
mobility,10.1890/13-2036.1,morphology,mobility
mobility,10.1016/B978-0-12-386475-8.00005-8,morphology,mobility
mobility,10.1111/j.1365-2664.2012.02211.x,morphology,mobility
mobility,10.1002/eap.1554/full,morphology,mobility
mobility,http://dx.doi.org/10.3389/fevo.2018.00081.s001,morphology,mobility
mobility,unknown_21,morphology,mobility
mobility,10.1111/oik.04712,morphology,mobility
mobility,unknown_23,morphology,mobility
mobility,10.1111/1365-2664.12493,morphology,mobility
mobility,10.1111/ele.12081,morphology,mobility
mobility between reefs,10.1111/gcb.14119,morphology,mobility
mobility speed,10.1002/ecy.1485,morphology,mobility
mobility within reefs,10.1111/gcb.14119,morphology,mobility
modal clutch size,10.2989/00306520309485376,life history,fecundity
mode of recolonization,10.1899/12-024.1,activity,dispersal
mode of reproduction,10.1111/jbi.13516,life history,reproductive mode
mode of reproduction,10.1111/1365-2656.12838,life history,reproductive mode
mode of seed storage,10.1111/j.1654-1103.2012.01476.x,life history,reproductive mode
moisture,10.1111/1365-2664.12493,habitat,water
moisture,10.1111/j.1472-4642.2009.00599.x,habitat,water
moisture level,10.1371/journal.pone.0090437,habitat,water
moisture tolerance,10.1111/oik.02277,resource acquisition,desication tolerance
moisture use,10.1111/j.1365-2656.2008.01443.x,habitat,water
moisture use,10.1111/1365-2656.12838,habitat,water
moisture use,10.1007/s00442-015-3345-z,habitat,water
month of start flowering,10.1007/s10531-014-0742-2,life history,reproductive timing
morphological defense,10.1111/1365-2435.13141,morphology,defense
morphological landmarks,10.1007/s00114-017-1475-3,morphology,morphometrics
morphological syndrome,unknown_19,morphology,morphometrics
morphological syndrome,10.1371/journal.pone.0061866,morphology,morphometrics
morphology,10.1002/eap.1554/full,morphology,morphometrics
morphology,unknown_31,morphology,morphometrics
morphometric measurements,10.1666/0094-8373(2005)031<0056:WTPCIT>2.0.CO;2,morphology,morphometrics
morphometric measurements,10.1098/rsos.160957,morphology,morphometrics
morphometric measures,10.11646/zootaxa.2556.1.3,morphology,morphometrics
morphometric measures,10.2307/2937046,morphology,morphometrics
morphospace,10.1890/13-0708.1,morphology,morphometrics
mortality,10.1086/703155,survival,mortality
mortality,10.1111/faf.12155,survival,mortality
mortality,10.1186/1471-2148-14-156,survival,mortality
mortality during egg stage,10.1017/S0952836900002016,survival,mortality
mortality rate,10.1046/j.1365-2656.2003.00727.x,survival,mortality
mortality rate,10.1038/srep33383,survival,mortality
mortality rate,10.1103/PhysRevE.88.062721,survival,mortality
mortality rate,10.3354/meps09086,survival,mortality
mortality rate,10.1890/0012-9658(2003)084[1129:AHUISP]2.0.CO;2,survival,mortality
mortality rate,10.2307/2410901,survival,mortality
mortality rate,10.1890/ES13-00102.1,survival,mortality
mortality rate in disturbed plots,10.1016/j.ecocom.2012.03.003,survival,mortality
mortality rate in undisturbed plots,10.1016/j.ecocom.2012.03.003,survival,mortality
motility,10.1111/fwb.12527,morphology,mobility
motility,10.1111/1365-2435.12784,morphology,mobility
motility,10.1111/gcb.13085,morphology,mobility
motility,10.1007/s10452-017-9634-3,morphology,mobility
motility,10.1016/j.ecolind.20.17.05.066,morphology,mobility
motility,10.1016/j.ecolind.2016.07.019,morphology,mobility
motility,10.1007/s10750-015-2313-2,morphology,mobility
mouth depth,10.1016/j.pocean.2014.10.002,morphology,mouth
mouth height,10.1111/1365-2435.12838,morphology,mouth
mouth position,10.1002/ece3.2328,morphology,mouth
mouth position,10.1111/faf.12347,morphology,mouth
mouth position,10.1007/s10641-016-0506-9,morphology,mouth
mouth position,10.1111/1365-2435.12838,morphology,mouth
mouth protrusion,10.1111/1365-2435.12838,morphology,mouth
mouth width,10.1111/1365-2435.12838,morphology,mouth
mouth width,10.1016/j.pocean.2014.10.002,morphology,mouth
mouth width,10.1111/j.1365-2109.2012.03205.x,morphology,mouth
mouthparts length,10.1111/ele.12081,morphology,mouth
movement behaviour,10.1371/journal.pone.0082344,activity,movement
movement method,10.1111/oik.01544,activity,movement
movement rate,10.1371/journal.pone.0126112,activity,movement
movement type,10.1038/s41559-019-0899-x,activity,movement
mucilage,10.1007/s10661-015-4519-1,morphology,mucilage
mucilage,10.1016/j.ecolind.2017.12.003,morphology,mucilage
mucilage absence,unknown_30,morphology,mucilage
mucilage presence,unknown_30,morphology,mucilage
mucilage production,10.1111/j.1438-8677.2012.00684.x,morphology,mucilage
mucus secretion,10.3390/w11020222,morphology,mucus
mud association,10.3389/fevo.2017.00084,habitat,NA
muscle lipid content,10.1111/1365-2656.12218,composition,lipid
muscle mitochondrial density,10.1111/1365-2656.12218,resource acquisition,respiration
mutualistic behaviour,10.1111/faf.12155,resource acquisition,mutualism
mycorrhizal association,10.1002/ecy.2079,resource acquisition,mutualism
mycorrhizal frequency,10.1111/1365-2664.12037,resource acquisition,mutualism
mycorrhizal type,10.1111/1365-2664.12037,resource acquisition,mutualism
mycorrhizas,10.1111/j.1365-2745.2009.01610.x,resource acquisition,mutualism
myelination,10.1111/ele.12688,morphology,sensing
N-15 delta isotopic composition,10.1371/journal.pone.0172879,composition,nitrogen
N-fixation capacity,10.1111/j.1600-0706.2010.18411.x,resource acquisition,nitrogen
N-fixing potential of forbs,10.1111/j.1365-2745.2011.01860.x,resource acquisition,nitrogen
N body concentration,10.1890/15-1084.1,composition,nitrogen
N concentration,10.1371/journal.pone.0114290,composition,nitrogen
N concentration,10.1016/B978-0-12-420002-9.00002-0,composition,nitrogen
N content,10.5194/bg-14-3371-2017,composition,nitrogen
N content,10.1046/j.1365-2435.2002.00664.x,composition,nitrogen
N content,10.3390/f9030122,composition,nitrogen
N content,10.1111/j.1472-4642.2009.00599.x,composition,nitrogen
N content,10.1111/1365-2664.12516,composition,nitrogen
N content,10.1111/1365-2664.12037,composition,nitrogen
N content,10.1111/1365-2745.12489,composition,nitrogen
N content,10.1111/j.1529-8817.2010.00890.x,composition,nitrogen
N content,10.1093/jpe/rtt064,composition,nitrogen
N content,10.1111/j.1365-2745.2012.01965.x,composition,nitrogen
N content per unit area,10.1111/1365-2435.12162,resource acquisition,nitrogen
N contents,10.1111/een.1.2425,composition,nitrogen
N dry mass percentage,10.1890/14-0454.1,composition,nitrogen
N fixation,10.1890/08-1449.1,resource acquisition,nitrogen
N fixation,10.1111/1365-2664.12037,resource acquisition,nitrogen
N fixation,10.1016/j.ecolind.20.17.05.066,resource acquisition,nitrogen
N fixation,10.1007/s10452-017-9634-3,resource acquisition,nitrogen
N fixation,10.1890/10-1245.1,resource acquisition,nitrogen
N isotope composition,10.1016/j.foreco.2018.04.032,composition,nitrogen
N per unit leaf area,10.1111/ele.12945,composition,nitrogen
N per unit mass,10.1111/j.1365-2745.2010.01662.x,composition,nitrogen
N uptake,10.1111/1365-2745.12489,resource acquisition,nitrogen
N/area,10.1111/j.1365-2745.2010.01662.x,resource acquisition,nitrogen
N:P body ratio,10.1890/15-1084.1,composition,nitrogen
N:P ratio,10.1111/jvs.12555,composition,nitrogen
N:P ratio,10.1002/eco.1655,composition,nitrogen
N15%,10.5194/bg-14-3371-2017,composition,nitrogen
N2 fixation,10.1007/s10452-016-9596-x,resource acquisition,nitrogen
natal dispersal distance,10.1093/beheco/ars040,activity,dispersal
native,10.1371/journal.pone.0090437,habitat,non-native
native,10.1016/j.foreco.2018.06.006,habitat,non-native
native,10.1111/1365-2656.12161,habitat,non-native
native breeding range,10.1111/ddi.12721,habitat,range
native latitudinal range,10.1111/j.1472-4642.2007.00381.x,habitat,range
native longitudinal range,10.1111/j.1472-4642.2007.00381.x,habitat,range
native nontarget host,unknown_10,resource acquisition,host characteristics
native nontarget prey,unknown_10,resource acquisition,diet
native or non-native,10.1371/journal.pone.0093237,habitat,non-native
native origin,unknown_10,habitat,range
native provenance,10.1111/1365-2664.12922,habitat,range
native range size,10.1111/ddi.12747,habitat,range
native range size,10.1111/geb.12567,habitat,range
native range size,10.1111/jbi.12808,habitat,range
native to north America,10.1111/j.1472-4642.2007.00381.x,habitat,range
natural 15N abundance,10.1046/j.1365-2435.2002.00664.x,composition,nitrogen
naturalized elsewhere,10.1111/j.1472-4642.2007.00381.x,habitat,non-native
nauplii size,10.1093/plankt/fbr111,life history,offspring size
nectar,10.3389/fevo.2017.00084,morphology,nectar
nectar concentration,10.1111/ele.12081,morphology,nectar
nectar splitting,10.1111/ele.12342,morphology,nectar
nectar tube length,10.1111/ele.12342,morphology,nectar
nectar volume,10.1111/ele.12081,morphology,nectar
need to forage during dispersal,10.1098/rsos.181702,resource acquisition,energy allocation
needle retention,10.1007/s00442-010-1684-3,growth,NA
neonate body mass,10.1111/bij.12238,life history,offspring size
nest-defense behaviour,10.1007/s11160-016-9446-x,activity,defense
nest dispersal,10.1111/j.1365-2656.2012.02015.x,activity,dispersal
nest form,10.1371/journal.pone.0090437,life history,reproductive mode
nest height,10.1007/BF00133308,life history,reproductive mode
nest height,10.1371/journal.pone.0090437,life history,reproductive mode
nest location,10.1111/gcb.12862,life history,reproductive mode
nest location,10.1111/j.1461-0248.2010.01493.x,life history,reproductive mode
nest location,10.1111/j.1365-2486.2009.01963.x,life history,reproductive mode
nest location,10.1111/ecog.02632,life history,reproductive mode
nest parasitized by cowbirds,10.1371/journal.pone.0090437,life history,reproductive mode
nest predation,10.1007/s00442-004-1770-5,survival,predation
nest site selection,10.1007/s00442-004-1770-5,life history,reproductive mode
nest substrate,10.1371/journal.pone.0090437,life history,reproductive mode
nest type,10.1007/BF00133308,life history,reproductive mode
nest type,10.1111/gcb.12862,life history,reproductive mode
nest types,10.1007/s10021-015-9875-8,life history,reproductive mode
nesting,10.1111/j.1461-0248.2008.01255.x,life history,reproductive mode
nesting behaviour,10.1111/ecog.00938,life history,reproductive mode
nesting habitat,10.7717/peerj.3092,life history,reproductive mode
nesting habitat,10.1111/1365-2656.12648,life history,reproductive mode
nesting habitat,10.3389/fevo.2017.00084,life history,reproductive mode
nesting habitat,10.1007/s00265-006-0160-x,life history,reproductive mode
nesting habitat preference,10.1002/ece3.2606,life history,reproductive mode
nesting in man-made structures,10.1111/1365-2656.12747,life history,reproductive mode
nesting in the ground,10.1111/1365-2656.12747,life history,reproductive mode
